xflr5 v6.57

 Calculated polar for: NACA 4410

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   0.300 (top)        0.300 (bottom)
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000

alpha,Re,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
   5.000,   10000, 0.6078, 0.05753, 0.03130,-0.0593,0.3000,0.3000,-0.8775, 0.0000, 0.0000, 0.0000, 0.3414
   5.000,   20000, 0.7644, 0.03922, 0.01892,-0.0666,0.3000,0.3000,-1.1021, 0.0000, 0.0000, 0.0000, 0.3310
   5.000,   30000, 0.8234, 0.03234, 0.01445,-0.0717,0.3000,0.3000,-1.2179, 0.0000, 0.0000, 0.0000, 0.3310
   5.000,   40000, 0.8554, 0.02846, 0.01211,-0.0753,0.3000,0.3000,-1.2863, 0.0000, 0.0000, 0.0000, 0.3319
   5.000,   50000, 0.8790, 0.02582, 0.01061,-0.0783,0.3000,0.3000,-1.3390, 0.0000, 0.0000, 0.0000, 0.3330
   5.000,   60000, 0.8981, 0.02384, 0.00950,-0.0810,0.3000,0.3000,-1.3819, 0.0000, 0.0000, 0.0000, 0.3342
   5.000,   70000, 0.9140, 0.02228, 0.00865,-0.0834,0.3000,0.3000,-1.4192, 0.0000, 0.0000, 0.0000, 0.3352
   5.000,   80000, 0.9260, 0.02105, 0.00797,-0.0852,0.3000,0.3000,-1.4475, 0.0000, 0.0000, 0.0000, 0.3360
   5.000,   90000, 0.9348, 0.02006, 0.00743,-0.0866,0.3000,0.3000,-1.4690, 0.0000, 0.0000, 0.0000, 0.3366
   5.000,  100000, 0.9414, 0.01924, 0.00701,-0.0876,0.3000,0.3000,-1.4859, 0.0000, 0.0000, 0.0000, 0.3370
   5.000,  110000, 0.9464, 0.01856, 0.00666,-0.0885,0.3000,0.3000,-1.4989, 0.0000, 0.0000, 0.0000, 0.3374
   5.000,  120000, 0.9502, 0.01798, 0.00637,-0.0891,0.3000,0.3000,-1.5092, 0.0000, 0.0000, 0.0000, 0.3377
   5.000,  130000, 0.9534, 0.01748, 0.00613,-0.0896,0.3000,0.3000,-1.5176, 0.0000, 0.0000, 0.0000, 0.3380
   5.000,  140000, 0.9560, 0.01704, 0.00592,-0.0901,0.3000,0.3000,-1.5246, 0.0000, 0.0000, 0.0000, 0.3382
   5.000,  150000, 0.9583, 0.01664, 0.00574,-0.0905,0.3000,0.3000,-1.5307, 0.0000, 0.0000, 0.0000, 0.3384
   5.000,  160000, 0.9602, 0.01629, 0.00559,-0.0909,0.3000,0.3000,-1.5360, 0.0000, 0.0000, 0.0000, 0.3386
